"Year","City","naps_id","Pollutant","Latitude","Longitude","annual_mean_3hMax","annual_mean_8hMax"
2021,"Barrie","065001","NO2",44.38231,-79.70243,11.6178082191781,8.52934246575342
2021,"Belleville","065401","NO2",44.15053,-77.3955,8.31704109589041,6.08901369863014
2021,"Brampton","060450","NO2",43.66957,-79.76567,13.4452054794521,10.1117260273973
2021,"Brantford","061402","NO2",43.13861,-80.29264,8.24750684931507,6.43901369863014
2021,"Burlington","063001","NO2",43.31458,-79.80276,16.2592876712329,12.7225753424658
2021,"Chatham","065801","NO2",42.40369,-82.20831,9.32413698630137,7.38602739726027
2021,"Cornwall","061201","NO2",45.01798,-74.73531,10.4491232876712,7.65213698630137
2021,"Grand Bend","063701","NO2",43.33319,-81.74282,4.04164383561644,3.26597260273973
2021,"Guelph","061802","NO2",43.55164,-80.26415,10.3496438356164,8.07295890410959
2021,"Hamilton","060512","NO2",43.25778,-79.86167,17.3792602739726,14.3619452054795
2021,"Hamilton","060515","NO2",43.25744,-79.90775,18.1228767123288,14.3549589041096
2021,"Hamilton","060521","NO2",43.24132,-79.88941,12.5056438356164,9.66493150684932
2021,"Kingston","060304","NO2",44.21987,-76.52113,8.04167123287671,5.89298630136986
2021,"Kitchener","061502","NO2",43.44383,-80.50381,9.58778082191781,7.34265753424657
2021,"London","060904","NO2",42.97446,-81.20086,9.74227397260274,7.5941095890411
2021,"Milton","067001","NO2",43.52965,-79.86245,16.6342465753425,13.0379452054795
2021,"Mississauga","060434","NO2",43.54697,-79.65869,13.3807945205479,10.5461917808219
2021,"Newmarket","065101","NO2",44.04431,-79.48325,9.51320547945205,7.09498630136986
2021,"North Bay","062001","NO2",46.32323,-79.44928,9.28071232876712,6.67561643835616
2021,"Oakville","061603","NO2",43.48692,-79.70228,13.6802739726027,10.7279452054795
2021,"Oshawa","061703","NO2",43.95222,-78.9125,6.35769863013699,4.87169863013699
2021,"Ottawa","060104","NO2",45.43433,-75.676,11.0007671232877,8.52898630136986
2021,"Parry Sound","065201","NO2",45.33786,-80.03817,5.74865753424658,4.0127397260274
2021,"Peterborough","061104","NO2",44.30183,-78.34639,8.20112328767123,6.25065753424658
2021,"Port Stanley","065301","NO2",42.67208,-81.16289,3.73739726027397,3.02901369863014
2021,"Sarnia","061007","NO2",42.91254,-82.41682,9.11038356164384,7.18172602739726
2021,"Sarnia","061009","NO2",42.99026,-82.39534,13.8259452054795,10.5493698630137
2021,"Sault Ste. Marie","060709","NO2",46.53319,-84.30992,8.2601095890411,5.95564383561644
2021,"Simcoe","062601","NO2",42.85685,-80.26964,4.85158904109589,3.96013698630137
2021,"St. Catharines","061302","NO2",43.16006,-79.23475,10.833095890411,8.36060273972603
2021,"Sudbury","060610","NO2",46.49194,-81.00311,11.8216164383562,8.87030136986301
2021,"Thunder Bay","060809","NO2",48.37939,-89.29017,13.2594246575342,9.8386301369863
2021,"Toronto","060410","NO2",43.74792,-79.27406,17.8461369863014,14.0926301369863
2021,"Toronto","060430","NO2",43.70944,-79.5435,22.5213424657534,18.5336438356164
2021,"Toronto","060435","NO2",43.61076,-79.52194,24.7117808219178,19.9087671232877
2021,"Toronto","060438","NO2",43.71111,-79.54343,28.440904109589,24.2738630136986
2021,"Toronto","060440","NO2",43.78042,-79.46752,17.4572602739726,13.7157808219178
2021,"Toronto","060445","NO2",43.64543,-79.38908,20.8159178082192,16.8643561643836
2021,"Windsor","060204","NO2",42.31578,-83.04367,17.4915342465753,14.0444383561644
2021,"Windsor","060211","NO2",42.29289,-83.07314,16.5045205479452,13.0174246575342
